date	experiment	round	assay	plate	condition	control	strain	row	col	trait	phenotype	.std.resid.x	.std.resid.y
20210409	ABZE	2	e	2	abz30	DMSO	ECA2805	D	8	n	1.6089297479228435	-0.7772154057359932	0.15376042024200393
20210409	ABZE	2	e	2	abz30	DMSO	ECA2816	D	9	n	16.46590070300482	1.2243092177312802	1.5710881405250974
20210409	ABZE	2	e	2	abz30	DMSO	N2	E	1	n	-7.730230135854756	0.04159012204607327	-0.7374089934487723
20210409	ABZE	2	e	2	abz30	DMSO	ECA2817	E	10	n	-5.3910702520771565	-1.0956397776512412	-0.515207844583466
20210409	ABZE	2	e	2	abz30	DMSO	ECA882	E	2	n	8.231631980778792	0.8603956498281397	0.7854440331333992
20210409	ABZE	2	e	2	abz30	DMSO	ECA2795	E	3	n	-7.796682585433331	-1.141128973639134	-0.7448544496234474
20210409	ABZE	2	e	2	abz30	DMSO	ECA2798	E	4	n	-8.760458785611494	-0.6862370137602081	-0.8354934559808935
20210409	ABZE	2	e	2	abz30	DMSO	ECA2801	E	6	n	12.793876914121261	1.0423524337797099	1.2206687355773997
20210409	ABZE	2	e	2	abz30	DMSO	ECA2804	E	7	n	10.4111377249499	1.7246903735980987	0.997661447692084
20210409	ABZE	2	e	2	abz30	DMSO	ECA2805	E	8	n	-7.3910702520771565	-1.1866181696270264	-0.7063416345336002
20210409	ABZE	2	e	2	abz30	DMSO	ECA2816	E	9	n	-11.53409929699518	-0.04938826992971189	-1.1005220390914372
20210409	ABZE	2	e	2	abz30	DMSO	N2	F	1	n	6.269769864145244	0.6784388658765693	0.5980914673200177
20210409	ABZE	2	e	2	abz30	DMSO	ECA2817	F	10	n	-6.3910702520771565	-1.141128973639134	-0.6107747395585331
20210409	ABZE	2	e	2	abz30	DMSO	ECA2795	F	3	n	11.20331741456667	-0.27683424986917476	1.070306599678002
20210409	ABZE	2	e	2	abz30	DMSO	ECA2798	F	4	n	-9.760458785611494	-0.7317262097481007	-0.9308644264320233
20210409	ABZE	2	e	2	abz30	DMSO	ECA2799	F	5	n	2.861990547813205	-0.41330183783285257	0.2731365810837607
20210409	ABZE	2	e	2	abz30	DMSO	ECA2801	F	6	n	-11.206123085878739	-0.04938826992971189	-1.0691805298569141
20210409	ABZE	2	e	2	abz30	DMSO	ECA2804	F	7	n	20.4111377249499	2.1795823334770246	1.9559250631096639
